Ticker,Price,Bucket,Decision,Score,Stoploss,Target,RR,RSI,ADX,VolRatio
SUPREMEIND.NS,3581.5,SWING (7–30 days),WATCH,73,3424.31,3856.58,1.75,56.71,21.06,0.16
VINATIORGA.NS,1332.5,SWING (7–30 days),WATCH,73,1272.05,1438.28,1.75,52.19,22.52,0.03
BDL.NS,1337.3,SWING (7–30 days),WATCH,65,1256.39,1478.89,1.75,52.01,16.53,0.18
GODREJAGRO.NS,621.0,SWING (7–30 days),WATCH,63,587.01,680.49,1.75,66.92,20.35,0.29
CLEAN.NS,829.55,SWING (7–30 days),WATCH,63,782.88,911.23,1.75,60.91,32.08,0.04
ASTRAL.NS,1530.0,SWING (7–30 days),WATCH,63,1460.59,1651.47,1.75,58.05,25.85,0.11
MAZDOCK.NS,2588.4,SWING (7–30 days),WATCH,63,2468.45,2798.31,1.75,62.0,30.09,0.17
PRINCEPIPE.NS,292.5,SWING (7–30 days),WATCH,63,276.67,320.2,1.75,66.92,30.85,0.38
HAPPSTMNDS.NS,443.75,SWING (7–30 days),WATCH,63,409.45,503.77,1.75,66.83,33.34,0.08
CYIENT.NS,1046.6,SWING (7–30 days),WATCH,63,979.49,1164.04,1.75,79.81,30.08,2.91
JUBLFOOD.NS,516.6,SWING (7–30 days),WATCH,63,488.48,565.8,1.75,69.81,47.2,0.22
JINDALSTEL.NS,1152.7,SWING (7–30 days),WATCH,63,1106.36,1233.8,1.75,64.32,24.06,0.08
